중분류,소분류,항목,항목_1,진료비용(단위 : 원),진료비용(단위 : 원)_2,진료비용(단위 : 원)_3,진료비용(단위 : 원)_4,진료비용(단위 : 원)_5,진료비용(단위 : 원)_6,특이사항,최종변경일
치과 처치 수술료,,UZ042,관절안정장치,,,"450,000","940,000",X,X,,2024-01-01
치과 처치 수술료,,,코골이처치,,,"8,000","15,000",X,X,,2024-01-01
치과 처치 수술료,,UZ045,관절재위치장치,,"1,050,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ046,교합장치의 조정,,,"8,000","28,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,"교합장치의 첨상, 재건",,,"107,000","214,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,교합조정(편측),,,"40,000","80,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,교합조정(복잡),,,"120,000","200,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,교합조정술,,,"51,000","103,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,의치 리라이닝(직접온성),,,"100,000","150,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,의치 리라이닝(간접온성),,,"150,000","250,000",X,X,,2024-01-01
치과 처치 수술료,,UZ046,의치리라이닝(연성이장재),,,"40,000","100,000",X,X,,2024-01-01
치과 처치 수술료,,UZ081,하악골이단술(시상골절단),,"3,593,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ081,하악골이단술(시선골절단),,"3,267,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ081,하악골이단술(V자형골절제),,"3,067,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ081,하악골이단술(수직골절단술),,"2,721,000",,,X,X,,2024-01-01
치과 처치 수술료,,,예방교정,,,"1,619,000","3,238,000",X,X,,2024-01-01
치과 처치 수술료,,,우식예방처치(Nd-YAG Laser이용),1회당,,"20,000","31,000",X,X,,2024-01-01
치과 처치 수술료,,,응급관절안전장치,,"150,000",,,X,X,,2024-01-01
치과 처치 수술료,,,치료교정술,,,"1,619,000","3,238,000",X,X,,2024-01-01
치과 처치 수술료,,,치아표백술,,,"81,000","129,000",X,X,,2024-01-01
치과 처치 수술료,,,치아형성,치아당,,"150,000","200,000",X,X,,2024-01-01
치과 처치 수술료,,,치수혈류측정술(초회),치아당,,"18,000","27,000",X,X,,2024-01-01
치과 처치 수술료,,,치수혈류측정술(재회),치아당,,"9,000","16,000",X,X,,2024-01-01
치과 처치 수술료,,,처치,,,"27,000","134,000",X,X,,2024-01-01
치과 처치 수술료,,,하악운동분석,,,"43,000","67,000",X,X,,2024-01-01
치과 처치 수술료,,,치근천공수복,,"153,000",,,X,X,,2024-01-01
치과 처치 수술료,,,치아연마술,1/3악당,,"38,000","62,000",X,X,,2024-01-01
치과 처치 수술료,,,입술성형술,,,"371,000","593,000",X,X,,2024-01-01
치과 처치 수술료,,,반흔교정술(가),,,"65,000","96,000",X,X,,2024-01-01
치과 처치 수술료,,,반흔교정술(나),,,"163,000","261,000",X,X,,2024-01-01
치과 처치 수술료,,,반흔교정술(다),,,"237,000","385,000",X,X,,2024-01-01
치과 처치 수술료,,,반흔교정술(라),,,"289,000","530,000",X,X,,2024-01-01
치과 처치 수술료,,,반흔교정술(마),,,"371,000","651,000",X,X,,2024-01-01
치과 처치 수술료,,,생활치아 미백술(초회),,,"400,000","607,000",X,X,,2024-01-01
치과 처치 수술료,,,생활치아 미백술(재회),,,"58,000","122,000",X,X,,2024-01-01
치과 처치 수술료,,,미시간 스프린트,,,"142,000","185,000",X,X,,2024-01-01
치과 처치 수술료,,,불소요법,,"5,000",,,X,X,,2024-01-01
치과 처치 수술료,,,조직확장기삽입술,,,"408,000","571,000",X,X,,2024-01-01
치과 처치 수술료,,,실활치 미백술 재회,,,"50,000","77,000",X,X,,2024-01-01
치과 처치 수술료,,,실활치 미백술 초회,,,"110,000","165,000",X,X,,2024-01-01
치과 처치 수술료,,,실활치아 표백술(초회)(종합진료실),,"73,000",,,X,X,,2024-01-01
치과 처치 수술료,,,심미수복진단,,,"9,000","52,000",X,X,,2024-01-01
치과 처치 수술료,,,복합레진 심미수복,,,"125,000","320,000",X,X,,2024-01-01
치과 처치 수술료,,,레진수지관 스프린트,,,"31,000","44,000",X,X,,2024-01-01
치과 처치 수술료,,,근단측정,,,"9,000","37,000",X,X,,2024-01-01
치과 처치 수술료,,,불소도포,,,"36,000","68,000",X,X,,2024-01-01
치과 처치 수술료,,,불소도포(종합진료실),,,"33,000","48,000",X,X,,2024-01-01
치과 처치 수술료,,,불소도포,,,"33,000","96,000",X,X,,2024-01-01
치과 처치 수술료,,,필러 주입술,,,"102,000","153,000",X,X,,2024-01-01
치과 처치 수술료,UZ001,,임시 가벽 및 기성포스트와 코아,,,"250,000","408,000",X,X,,2024-01-01
치과 처치 수술료,,,치간이개의 폐쇄,,,"600,000","800,000",X,X,,2024-01-01
치과 처치 수술료,,,광중합 레진 코어,,,"156,000","274,000",X,X,,2024-01-01
치과 처치 수술료,,UW3021047,치석제거 [전악],,"119,979",,,X,X,,2024-01-01
치과 처치 수술료,,,치은치조점막술,,,"350,000","1,000,000",X,X,,2024-07-25
치과 처치 수술료,,,보툴리눔톡신 주사요법,,,"30,000","85,000",X,X,,2024-06-07
치과 처치 수술료,,,치아 외과적 정출술,치아당,,"350,000","400,000",X,X,,2024-07-29
치과 처치 수술료,,,조직유도재생술,,,"300,000","900,000",X,X,,2024-02-01
