분류,항목,항목_1,진료비용(단위 : 원),진료비용(단위 : 원)_2,진료비용(단위 : 원)_3,진료비용(단위 : 원)_4,진료비용(단위 : 원)_5,진료비용(단위 : 원)_6,특이사항,최종변경일
치과 보철료,UZ001,포스트 수복,개당,"48,000",,,X,X,,2024-01-01
치과 보철료,UZ001,포스트관(귀금속관),,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,UZ001,포스트관(비귀금속관),,,"250,000","350,000",X,X,,2024-01-01
치과 보철료,,폴리카보네이트크라운,,"57,000",,,X,X,,2024-01-01
치과 보철료,,포스레인크라운(귀금속),,"452,000",,,X,X,,2024-01-01
치과 보철료,,포스레인크라운(비귀금속),,"291,000",,,X,X,,2024-01-01
치과 보철료,,포세린인레이,,,"352,000","654,000",X,X,,2024-01-01
치과 보철료,,포세린심미수복,,"303,000",,,X,X,,2024-01-01
치과 보철료,,포세린리페어(도재),,,"250,000","400,000",X,X,,2024-01-01
치과 보철료,,포세린리페어(resin),,,"120,000","150,000",X,X,,2024-01-01
치과 보철료,,포세린 라미네이트 비니어관,,,"500,000","770,000",X,X,,2024-01-01
치과 보철료,,폐쇄장치,,,"23,000","57,000",X,X,,2024-01-01
치과 보철료,,하이브리드임플란트보철(귀금속)4개,,,"5,100,000","5,610,000",X,X,,2024-01-01
치과 보철료,,하이브리드임플란트보철(귀금속)5개이상,,,"5,304,000","6,120,000",X,X,,2024-01-01
치과 보철료,,하이브리드임플란트보철(비귀금속)4개,,,"2,958,000","3,570,000",X,X,,2024-01-01
치과 보철료,,하이브리드임플란트보철(비귀금속)5-6개,,,"3,200,000","4,000,000",X,X,,2024-01-01
치과 보철료,,환자 맞춤형 지르코니아 지대주,,"204,000",,,X,X,,2024-01-01
치과 보철료,,피개의치 클립 교환 수리,,,"11,000","31,000",X,X,,2024-01-01
치과 보철료,,피개의치 클립 및 하우징 교환 수리,,,"51,000","102,000",X,X,,2024-01-01
치과 보철료,,편측 임플란트 진단 및 치료계획,,,"40,000","60,000",X,X,,2024-01-01
치과 보철료,UW607F310,전부주조비귀금속관(종합진료실),,"153,000",,,X,X,,2024-01-01
치과 보철료,UW607F310,전부주조비귀금속관,,,"250,000","400,000",X,X,,2024-01-01
치과 보철료,,접착형 스프린트,치아당,,"73,000","98,000",X,X,,2024-01-01
치과 보철료,,지르키즈 전장관 수복,,,"200,000","250,000",X,X,,2024-01-01
치과 보철료,,의치 인공치아 교합면 수복(Gold A type),1치당,,"204,000","306,000",X,X,,2024-01-01
치과 보철료,,의치 인공치아 교합면 수복(Gold PG type),1치당,,"255,000","357,000",X,X,,2024-01-01
치과 보철료,,의치 인공치아 교합면 수복(Metal),1치당,,"102,000","204,000",X,X,,2024-01-01
치과 보철료,,의치 인공치아 교합면 수복(Zirconia),1치당,,"204,000","306,000",X,X,,2024-01-01
치과 보철료,UW609F350,완전지르코니아관,,,"600,000","850,000",X,X,,2024-01-01
치과 보철료,UZ0040022,임시레진온레이,,,"18,000","37,000",X,X,,2024-01-01
치과 보철료,UZ0040012,임시레진인레이,,,"18,000","37,000",X,X,,2024-01-01
치과 보철료,,임시보철물 제작,,,"45,000","104,000",X,X,,2024-01-01
치과 보철료,,임시수지관,,,"30,000","50,000",X,X,,2024-01-01
치과 보철료,,임시총의치,,,"500,000","700,000",X,X,,2024-01-01
치과 보철료,,임시폐쇄장치,,,"612,000","918,000",X,X,,2024-01-01
치과 보철료,,임플란트 CAD/CAM 크라운(구치부),,,"800,000","1,000,000",X,X,,2024-01-01
치과 보철료,,임플란트 CAD/CAM 크라운(전치부),,,"900,000","1,100,000",X,X,,2024-01-01
치과 보철료,UB0010021,임플란트 귀금속관 (A형),,,"714,000","918,000",X,X,,2024-01-01
치과 보철료,UB0010021,임플란트 귀금속관 PG,,,"918,000","1,122,000",X,X,,2024-01-01
치과 보철료,UB0010021,임플란트 귀금속관 PG C(구강외과),,"1,056,000",,,X,X,,2024-01-01
치과 보철료,UB0010012,임플란트 도재 비귀금속관,,,"600,000","900,000",X,X,,2024-01-01
치과 보철료,,임플란트 방전가공,,,"489,000","612,000",X,X,,2024-01-01
치과 보철료,,임플란트 비귀금속관-screw type,,,"510,000","714,000",X,X,,2024-01-01
치과 보철료,,임플란트 비귀금속관-이중관(내관),,,"183,000","295,000",X,X,,2024-01-01
치과 보철료,,임플란트 비귀금속관-이중관(외관),,,"612,000","816,000",X,X,,2024-01-01
치과 보철료,,임플란트 수술용 스텐트(CAD/CAM),,,"150,000","300,000",X,X,,2024-01-01
치과 보철료,,임플란트 스크류 홀 레진수복,,,"21,000","51,000",X,X,,2024-01-01
치과 보철료,,임플란트 스텐트 양측 혹은 무치악,,,"102,000","153,000",X,X,,2024-01-01
치과 보철료,,임플란트 스텐트 편측,,,"61,000","102,000",X,X,,2024-01-01
치과 보철료,,임플란트 식립수술(재료대별도),,,"484,000","787,000",X,X,,2024-01-01
치과 보철료,UB0010051,임플란트 완전 지르코니아관,,,"1,147,000","1,484,000",X,X,,2024-01-01
치과 보철료,,임플란트 임시수복물(간단),,,"80,000","150,000",X,X,,2024-01-01
치과 보철료,,임플란트 파절 나사 제거비(외부병원),,,"107,000","214,000",X,X,,2024-01-01
치과 보철료,,임플란트 피개의치(3개이하식립-금속 프레임),,,"2,142,000","2,891,000",X,X,,2024-01-01
치과 보철료,,임플란트 피개의치(4개이상식립-금속 프레임),,,"2,945,000","3,711,000",X,X,,2024-01-01
치과 보철료,,임플란트1차시술(재료별도),,,"706,000","1,092,000",X,X,,2024-01-01
치과 보철료,,임플란트2차시술(재료별도),,,"107,000","214,000",X,X,,2024-01-01
치과 보철료,,임플란트1차시술(재시술),,,"400,000","500,000",X,X,,2024-01-01
치과 보철료,,임플란트2차시술(재시술),,,"30,000","60,000",X,X,,2024-01-01
치과 보철료,,임플란트나사 재조임,,,"22,000","54,000",X,X,,2024-01-01
치과 보철료,,임플란트식립시술(임상시험),,,"112,000","225,000",X,X,,2024-01-01
치과 보철료,,임플란트진단 및 분석(재료별도),,,"494,000","636,000",X,X,,2024-01-01
치과 보철료,,임플란트피개의치 4개이상,,,"2,800,000","3,500,000",X,X,,2024-01-01
치과 보철료,,임플란트피개의치(2-3개),,,"2,200,000","3,000,000",X,X,,2024-01-01
치과 보철료,,펙톤 바 커버(4개이하 재료대별도),,,"300,000","500,000",X,X,,2024-01-01
치과 보철료,,펙톤 바 커버(5개이상 재료대별도),,,"400,000","600,000",X,X,,2024-01-01
치과 보철료,,펙톤 외관,,,"153,000","255,000",X,X,,2024-01-01
치과 보철료,UZ001,펙톤 포스트,,,"102,000","204,000",X,X,,2024-01-01
치과 보철료,UZ001,펙톤 포스트 코어,,,"204,000","306,000",X,X,,2024-01-01
치과 보철료,,펙톤 프레임워크(프레싱 타입),,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,,펙톤 하이브리드 임플란트 보철(4개이하),,,"4,173,000","5,440,000",X,X,,2024-01-01
치과 보철료,,펙톤 하이브리드 임플란트 보철(5개이상),,,"4,903,000","6,254,000",X,X,,2024-01-01
치과 보철료,,펙톤외관,,,"250,000","400,000",X,X,,2024-01-01
치과 보철료,,총의치 교합조정(치아교환후),,,"150,000","250,000",X,X,,2024-01-01
치과 보철료,,총의치(gold),,,"3,978,000","4,488,000",X,X,,2024-01-01
치과 보철료,,총의치(metal),,,"2,000,000","2,700,000",X,X,,2024-01-01
치과 보철료,,총의치(레진),,,"1,938,000","2,550,000",X,X,,2024-01-01
치과 보철료,,악안면보철(복잡),,,"2,346,000","3,060,000",X,X,,2024-01-01
치과 보철료,,양측 혹은 무치악 임플란트 진단 및 치료계획,,,"100,000","200,000",X,X,,2024-01-01
치과 보철료,,수복물 접착술,,,"27,000","113,000",X,X,,2024-01-01
치과 보철료,,스프린트,,,"600,000","800,000",X,X,,2024-01-01
치과 보철료,,악골성형술(간단),,,"1,630,000","2,103,000",X,X,,2024-01-01
치과 보철료,,악골성형술(복잡),,,"2,969,000","4,205,000",X,X,,2024-01-01
치과 보철료,,악습벽차단장치,,,"647,000","971,000",X,X,,2024-01-01
치과 보철료,,셀루로이드 크라운,,,"141,000","212,000",X,X,,2024-01-01
치과 보철료,,설측보정장치,,,"54,000","108,000",X,X,,2024-01-01
치과 보철료,,상악골이단술(안면골횡상골절단술),,"2,930,000",,,X,X,,2024-01-01
치과 보철료,,상악골이단술(안면골추체형골절단),,"1,950,000",,,X,X,,2024-01-01
치과 보철료,,상악골이단술(수평골절단술),,"2,591,000",,,X,X,,2024-01-01
치과 보철료,,상악동 거상술,,"1,187,000",,,X,X,,2024-01-01
치과 보철료,UZ0040012,복합레진인레이,,,"177,000","391,000",X,X,,2024-01-01
치과 보철료,,부착성가공의치(비귀금속),,,"200,000","250,000",X,X,,2024-01-01
치과 보철료,,단순 안면보철물,,,"1,530,000","2,040,000",X,X,,2024-01-01
치과 보철료,,기성크라운,,,"180,000","250,000",X,X,,2024-01-01
치과 보철료,,기성크라운(종합진료실),,"81,000",,,X,X,,2024-01-01
치과 보철료,,기성포스트(종합진료실),,"35,000",,,X,X,,2024-01-01
치과 보철료,UZ001,기성포스트,,,"120,000","200,000",X,X,,2024-01-01
치과 보철료,UZ001,기성포스트와 코아,,,"119,000","296,000",X,X,,2024-01-01
치과 보철료,UW608F320,도재전장주조귀금속관,,,"714,000","969,000",X,X,,2024-01-01
치과 보철료,UW608F320,도재전장주조귀금속관(Collarless),,,"765,000","1,020,000",X,X,,2024-01-01
치과 보철료,UW608F310,도재전장주조비귀금속관,,,"500,000","650,000",X,X,,2024-01-01
치과 보철료,UW608F310,도재전장주조비귀금속관(Collarless),,,"561,000","714,000",X,X,,2024-01-01
치과 보철료,UW608F310,도재전장주조비귀금속금관(종합진료실),,"204,000",,,X,X,,2024-01-01
치과 보철료,UZ001,라이트 포스트,,,"153,000","204,000",X,X,,2024-01-01
치과 보철료,,디벤딩,,,"33,000","65,000",X,X,,2024-01-01
치과 보철료,,라미네이트 크라운,,"57,000",,,X,X,,2024-01-01
치과 보철료,,레진 페이싱,,,"122,000","183,000",X,X,,2024-01-01
치과 보철료,,교합력 측정기 센서,,,"13,000","35,000",X,X,,2024-01-01
치과 보철료,UZ0040011,금인레이(1면),,"177,000",,,X,X,,2024-01-01
치과 보철료,UZ0040011,금인레이(2면),,"242,000",,,X,X,,2024-01-01
치과 보철료,UZ0040011,금인레이(3면),,"323,000",,,X,X,,2024-01-01
치과 보철료,UZ0040011,금인레이,,,"291,500","600,000",X,X,,2024-01-01
치과 보철료,UZ0040021,금온레이,,,"393,000","765,000",X,X,,2024-01-01
치과 보철료,UZ0040021,금온레이(금),,"162,000",,,X,X,,2024-01-01
치과 보철료,UZ0040021,금온레이(백금),,"210,000",,,X,X,,2024-01-01
치과 보철료,,금합금재제작(A 타입),,,"102,000","204,000",X,X,,2024-01-01
치과 보철료,,금합금재제작(PG 타입),,,"153,000","255,000",X,X,,2024-01-01
치과 보철료,,금합금재제작(금인레이),,,"153,000","255,000",X,X,,2024-01-01
치과 보철료,,금합금재제작(귀금속 도재주조전장관),,,"153,000","306,000",X,X,,2024-01-01
치과 보철료,,급속구개확장장치,,"144,000",,,X,X,,2024-01-01
치과 보철료,,국소의치(gold),,,"4,080,000","4,590,000",X,X,,2024-01-01
치과 보철료,,국소의치(크롬코발트),,,"1,800,000","2,700,000",X,X,,2024-01-01
치과 보철료,,고정원 매식술,,,"111,000","148,000",X,X,,2024-01-01
치과 보철료,UZ001,골드 포스트(only post),,,"153,000","255,000",X,X,,2024-01-01
치과 보철료,UZ001,지르코니아 코어 & 비귀금속 포스트,,"408,000","612,000",,X,X,,2024-01-01
치과 보철료,UZ001,지르코니아 코어 & 귀금속 포스트,,"459,000","663,000",,X,X,,2024-01-01
치과 보철료,,공간확대장치,,,"323,000","647,000",X,X,,2024-01-01
치과 보철료,,Temporary Crown,,,"40,000","60,000",X,X,,2024-01-01
치과 보철료,,Telescopic Cr.,,,"300,000","400,000",X,X,,2024-01-01
치과 보철료,,Resin Filling,,,"150,000","200,000",X,X,,2024-01-01
치과 보철료,,Resin facing Cr.(A type),,,"494,000","650,000",X,X,,2024-01-01
치과 보철료,,Resin facing Cr.(PG type),,,"593,000","732,000",X,X,,2024-01-01
치과 보철료,UW609F340,Porcelain Jacket Cr.,,,"714,000","918,000",X,X,,2024-01-01
치과 보철료,UB0010022,Implant 도재귀금속관(복잡),,,"1,020,000","1,326,000",X,X,,2024-01-01
치과 보철료,,Attachment(A)(재료대별도),,,"150,000","300,000",X,X,,2024-01-01
치과 보철료,UZ0040014,CAD/CAM 인레이/온레이,,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,,CAD/CAM 임시치아,,,"50,000","80,000",X,X,,2024-01-01
치과 보철료,,CAD/CAM 임플란트 임시치아,,,"200,000","300,000",X,X,,2024-01-01
치과 보철료,UB0010051,CAD/CAM 임플란트 전치부 완전지르관,,,"867,000","1,020,000",X,X,,2024-01-01
치과 보철료,,Pin,,,"14,000","47,000",X,X,,2024-01-01
치과 보철료,,pin 방전가공,,,"122,000","183,000",X,X,,2024-01-01
치과 보철료,,T-scan,,,"122,000","183,000",X,X,,2024-01-01
치과 보철료,,Solder(A),,,"50,000","70,000",X,X,,2024-01-01
치과 보철료,,Solder(B),,,"100,000","200,000",X,X,,2024-01-01
치과 보철료,,Suture Coronal,,"17,000",,,X,X,,2024-01-01
치과 보철료,,Suture Lambdoidal,,"17,000",,,X,X,,2024-01-01
치과 보철료,,Suture Sagittal,,"17,000",,,X,X,,2024-01-01
